complaint_id,text,category,language,scope_id
C001,"The main city water pipeline has burst, causing massive flooding on the highway.",Water Supply,English,3
C002,"शहर की मुख्य पानी की पाइपलाइन फट गई है, जिससे हाईवे पर भारी जलभराव हो गया है।",Water Supply,Hindi,3
C003,"Shehar ki main water pipeline phat gayi hai, jis se highway par heavy flooding ho rahi hai.",Water Supply,Hinglish,3
C004,"There is a dead animal lying in the middle of our street lane, causing a terrible smell.",Sanitation,English,1
C005,"हमारी गली के बीच में एक मृत जानवर पड़ा है, जिससे बहुत भयानक बदबू आ रही है।",Sanitation,Hindi,1
C006,"Humari gali ke beech mein ek dead animal pada hai, bahut gandi smell aa rahi hai.",Sanitation,Hinglish,1
C007,"All the streetlights in Sector 12 have been flickering and failing for two nights.",Transportation,English,2
C008,"सेक्टर 12 की सभी स्ट्रीट लाइटें दो रातों से टिमटिमा रही हैं और खराब हो गई हैं।",Transportation,Hindi,2
C009,"Sector 12 ki saari streetlights do raato se flicker kar rahi hain aur kharab ho gayi hain.",Transportation,Hinglish,2
C010,"My personal kitchen sink pipe is leaking and needs immediate repair.",Water Supply,English,0
C011,"मेरे घर के किचन सिंक का पाइप लीक हो रहा है और इसे तुरंत ठीक करने की जरूरत है।",Water Supply,Hindi,0
C012,"Mere ghar ke kitchen sink ka pipe leak ho raha hai aur ise turant repair karna padega.",Water Supply,Hinglish,0
C013,"The garbage collection truck has not visited our colony for the entire week.",Sanitation,English,2
C014,"कचरा उठाने वाली गाड़ी पूरे हफ्ते से हमारी कॉलोनी में नहीं आई है।",Sanitation,Hindi,2
C015,"Kachra uthane wali gaadi poore hafte se humari colony mein nahi aayi hai.",Sanitation,Hinglish,2
C016,"A huge pothole has formed at the main entrance of the city hospital road.",Transportation,English,3
C017,"सिटी अस्पताल रोड के मुख्य प्रवेश द्वार पर एक बड़ा गड्ढा बन गया है।",Transportation,Hindi,3
C018,"City hospital road ke main entrance par ek bada gadda ban gaya hai.",Transportation,Hinglish,3
C019,"The public tap at the corner of Lane 4 is broken and wasting water.",Water Supply,English,1
C020,"गली नंबर 4 के कोने पर लगा सार्वजनिक नल टूट गया है और पानी बर्बाद हो रहा है।",Water Supply,Hindi,1
C021,"Lane 4 ke corner wala public tap toot gaya hai aur paani waste ho raha hai.",Water Supply,Hinglish,1
C022,"The open manhole near the neighborhood park is very dangerous for children.",Sanitation,English,2
C023,"मोहल्ले के पार्क के पास खुला मैनहोल बच्चों के लिए बहुत खतरनाक है।",Sanitation,Hindi,2
C024,"Neighborhood park ke paas khula manhole bachon ke liye bahut dangerous hai.",Sanitation,Hinglish,2
C025,"The traffic signals at the busy Crossroad Junction are not working at all.",Transportation,English,3
C026,"व्यस्त क्रॉसरोड जंक्शन पर ट्रैफिक सिग्नल बिल्कुल काम नहीं कर रहे हैं।",Transportation,Hindi,3
C027,"Busy Crossroad Junction par traffic signals bilkul kaam nahi kar rahe hain.",Transportation,Hinglish,3
C028,"Sewage water is overflowing and entering the houses in our small lane.",Sanitation,English,1
C029,"हमारी छोटी गली के घरों में सीवर का पानी भर रहा है और ओवरफ्लो हो रहा है।",Sanitation,Hindi,1
C030,"Humari choti gali ke gharon mein sewage ka pani bhar raha hai aur overflow ho raha hai.",Sanitation,Hinglish,1
C031,"I am receiving contaminated and muddy water through my home tap today.",Water Supply,English,0
C032,"आज मुझे अपने घर के नल से दूषित और मटमैला पानी मिल रहा है।",Water Supply,Hindi,0
C033,"Aaj mujhe apne ghar ke tap se ganda aur mitti wala pani mil raha hai.",Water Supply,Hinglish,0
C034,"Illegal parking in our colony is blocking the emergency exit for ambulances.",Transportation,English,2
C035,"हमारी कॉलोनी में अवैध पार्किंग एम्बुलेंस के आपातकालीन निकास को रोक रही है।",Transportation,Hindi,2
C036,"Humari colony mein illegal parking se ambulance ka emergency exit block ho raha hai.",Transportation,Hinglish,2
C037,"The local community dustbin is broken and trash is scattered everywhere.",Sanitation,English,2
C038,"स्थानीय सामुदायिक कूड़ेदान टूट गया है और कचरा हर जगह बिखरा हुआ है।",Sanitation,Hindi,2
C039,"Local community dustbin toot gaya hai aur kachra har jagah faila hua hai.",Sanitation,Hinglish,2
C040,"Low water pressure in the entire district is making it hard to cook or bathe.",Water Supply,English,3
C041,"पूरे जिले में पानी का दबाव कम होने से खाना बनाना या नहाना मुश्किल हो रहा है।",Water Supply,Hindi,3
C042,"Poore district mein water pressure low hone se khana banana ya nahana mushkil ho gaya hai.",Water Supply,Hinglish,3
C043,"A fallen tree is blocking the single lane road behind the market area.",Transportation,English,1
C044,"बाजार क्षेत्र के पीछे की सिंगल लेन वाली सड़क को एक गिरा हुआ पेड़ रोक रहा है।",Transportation,Hindi,1
C045,"Market area ke peeche wali single lane road ko ek gira hua ped block kar raha hai.",Transportation,Hinglish,1
C046,"The drainage line in front of my house is choked and stinking.",Sanitation,English,0
C047,"मेरे घर के सामने की ड्रेनेज लाइन चोक हो गई है और बदबू आ रही है।",Sanitation,Hindi,0
C048,"Mere ghar ke samne ki drainage line choke ho gayi hai aur badbu aa rahi hai.",Sanitation,Hinglish,0
C049,"The water tank in our apartment complex hasn't been cleaned in months.",Water Supply,English,2
C050,"हमारे अपार्टमेंट कॉम्प्लेक्स की पानी की टंकी महीनों से साफ नहीं हुई है।",Water Supply,Hindi,2
C051,"Humare apartment complex ki pani ki tanki mahino se saaf nahi hui hai.",Water Supply,Hinglish,2
C052,"Major cracks have appeared on the main flyover connecting the suburbs.",Transportation,English,3
C053,"उपनगरों को जोड़ने वाले मुख्य फ्लाईओवर पर बड़ी दरारें आ गई हैं।",Transportation,Hindi,3
C054,"Suburbs ko jodne wale main flyover par badi cracks aa gayi hain.",Transportation,Hinglish,3
C055,"Street sweepers have not cleared the leaves from our lane for two weeks.",Sanitation,English,1
C056,"सड़क सफाईकर्मियों ने दो हफ्तों से हमारी गली से पत्ते नहीं हटाए हैं।",Sanitation,Hindi,1
C057,"Street sweepers ne do hafton se humari lane se patte nahi saaf kiye hain.",Sanitation,Hinglish,1
C058,"The public fountain in the city center is overflowing and wasting water.",Water Supply,English,3
C059,"शहर के केंद्र में स्थित सार्वजनिक फव्वारा ओवरफ्लो हो रहा है और पानी बर्बाद हो रहा है।",Water Supply,Hindi,3
C060,"City center wala public fountain overflow ho raha hai aur pani waste ho raha hai.",Water Supply,Hinglish,3
C061,"The footpath on the main road has been dug up and left unfinished.",Transportation,English,3
C062,"मुख्य सड़क पर फुटपाथ खोद दिया गया है और उसे अधूरा छोड़ दिया गया है।",Transportation,Hindi,3
C063,"Main road ka footpath khod diya gaya hai aur use adhoora chhod diya gaya hai.",Transportation,Hinglish,3
C064,"There is a massive leakage in the overhead water tank of our colony.",Water Supply,English,2
C065,"हमारी कॉलोनी की ओवरहेड पानी की टंकी में भारी रिसाव हो रहा है।",Water Supply,Hindi,2
C066,"Humari colony ki overhead pani ki tanki mein massive leakage ho raha hai.",Water Supply,Hinglish,2
C067,"The public toilets near the bus stand are extremely dirty and unusable.",Sanitation,English,3
C068,"बस स्टैंड के पास के सार्वजनिक शौचालय बहुत गंदे और अनुपयोगी हैं।",Sanitation,Hindi,3
C069,"Bus stand ke paas wale public toilets bahut gande aur unusable hain.",Sanitation,Hinglish,3
C070,"A stray dog was found dead inside the neighborhood park's water fountain.",Sanitation,English,2
C071,"मोहल्ले के पार्क के फव्वारे के अंदर एक आवारा कुत्ता मृत पाया गया।",Sanitation,Hindi,2
C072,"Neighborhood park ke fountain ke andar ek awara kutta mara hua mila.",Sanitation,Hinglish,2
C073,"The speed breaker on Lane 7 is too high and damaging small cars.",Transportation,English,1
C074,"गली नंबर 7 का स्पीड ब्रेकर बहुत ऊंचा है और छोटी कारों को नुकसान पहुंचा रहा है।",Transportation,Hindi,1
C075,"Lane 7 ka speed breaker bahut uncha hai aur choti caron ko damage kar raha hai.",Transportation,Hinglish,1
C076,"I haven't received the water bill for my house for the last three months.",Water Supply,English,0
C077,"मुझे पिछले तीन महीनों से अपने घर का पानी का बिल नहीं मिला है।",Water Supply,Hindi,0
C078,"Mujhe pichle teen mahino se apne ghar ka pani ka bill nahi mila hai.",Water Supply,Hinglish,0
C079,"The garbage bins in the market area are overflowing and attracting flies.",Sanitation,English,3
C080,"बाजार क्षेत्र के कूड़ेदान ओवरफ्लो हो रहे हैं और मक्खियों को आकर्षित कर रहे हैं।",Sanitation,Hindi,3
C081,"Market area ke garbage bins overflow ho rahe hain aur makkhiyan aa rahi hain.",Sanitation,Hinglish,3
C082,"The traffic light at the school crossing stays red for too long.",Transportation,English,2
C083,"स्कूल क्रॉसिंग पर ट्रैफिक लाइट बहुत देर तक लाल रहती है।",Transportation,Hindi,2
C084,"School crossing par traffic light bahut der tak red rehti hai.",Transportation,Hinglish,2
C085,"The water coming out of the community handpump is yellow in color.",Water Supply,English,1
C086,"सामुदायिक हैंडपंप से निकलने वाला पानी पीले रंग का है।",Water Supply,Hindi,1
C087,"Community handpump se nikalne wala pani yellow color ka hai.",Water Supply,Hinglish,1
C088,"Someone has dumped construction debris on the sidewalk of our street.",Sanitation,English,1
C089,"किसी ने हमारी गली के फुटपाथ पर निर्माण का मलबा डाल दिया है।",Sanitation,Hindi,1
C090,"Kisi ne humari gali ke sidewalk par construction malba daal diya hai.",Sanitation,Hinglish,1
C091,"The bridge over the local canal has developed dangerous cracks.",Transportation,English,3
C092,"स्थानीय नहर के ऊपर बने पुल में खतरनाक दरारें आ गई हैं।",Transportation,Hindi,3
C093,"Local canal ke upar wale bridge mein dangerous cracks aa gayi hain.",Transportation,Hinglish,3
C094,"The water valve near the park is stuck and we cannot stop the flow.",Water Supply,English,2
C095,"पार्क के पास का पानी का वाल्व फंस गया है और हम बहाव को रोक नहीं पा रहे हैं।",Water Supply,Hindi,2
C096,"Park ke paas wala water valve stuck ho gaya hai aur hum flow nahi rok paa rahe.",Water Supply,Hinglish,2
C097,"Large quantities of plastic waste are blocked in the main city drain.",Sanitation,English,3
C098,"शहर के मुख्य नाले में बड़ी मात्रा में प्लास्टिक कचरा फंस गया है।",Sanitation,Hindi,3
C099,"Shehar ke main naale mein bohot saara plastic waste block ho gaya hai.",Sanitation,Hinglish,3
C100,"The street name sign at the entrance of our block has fallen off.",Transportation,English,1
C101,"हमारे ब्लॉक के प्रवेश द्वार पर लगा सड़क के नाम का बोर्ड गिर गया है।",Transportation,Hindi,1
C102,"Humare block ke entrance wala street name sign niche gir gaya hai.",Transportation,Hinglish,1
C103,"My apartment's water meter is running even when all taps are closed.",Water Supply,English,0
C104,"मेरे अपार्टमेंट का पानी का मीटर तब भी चल रहा है जब सभी नल बंद हैं।",Water Supply,Hindi,0
C105,"Mere apartment ka water meter chal raha hai jabki saare taps band hain.",Water Supply,Hinglish,0
C106,"The sweeping staff is burning dry leaves in the open, causing smoke.",Sanitation,English,2
C107,"सफाई कर्मचारी खुले में सूखे पत्ते जला रहे हैं, जिससे धुआं हो रहा है।",Sanitation,Hindi,2
C108,"Sweeping staff khule mein sukhe patte jala rahe hain, jis se dhuaan ho raha hai.",Sanitation,Hinglish,2
C109,"Auto-rickshaws are blocking the bus stop, making it hard for commuters.",Transportation,English,3
C110,"ऑटो-रिक्शा बस स्टॉप को ब्लॉक कर रहे हैं, जिससे यात्रियों को परेशानी हो रही है।",Transportation,Hindi,3
C111,"Auto-rickshaws bus stop block kar rahe hain, jis se commuters ko dikkat ho rahi hai.",Transportation,Hinglish,3
C112,"There is a foul smell coming from the water supplied in our lane.",Water Supply,English,1
C113,"हमारी गली में सप्लाई किए जा रहे पानी से दुर्गंध आ रही है।",Water Supply,Hindi,1
C114,"Humari lane mein supply hone wale pani se gandi smell aa rahi hai.",Water Supply,Hinglish,1
C115,"Stagnant water in the potholes is becoming a breeding ground for mosquitoes.",Sanitation,English,2
C116,"गढ्ढों में जमा पानी मच्छरों के पनपने का स्थान बन रहा है।",Sanitation,Hindi,2
C117,"Gaddon mein jama pani machharon ke liye breeding ground ban raha hai.",Sanitation,Hinglish,2
C118,"The zebra crossing outside the primary school has completely faded away.",Transportation,English,2
C119,"प्राइमरी स्कूल के बाहर जेब्रा क्रॉसिंग पूरी तरह से मिट गई है।",Transportation,Hindi,2
C120,"Primary school ke bahar zebra crossing poori tarah se mit gayi hai.",Transportation,Hinglish,2
C121,"The main water tanker for our area did not arrive today as scheduled.",Water Supply,English,2
C122,"हमारे क्षेत्र के लिए मुख्य पानी का टैंकर आज तय समय पर नहीं आया।",Water Supply,Hindi,2
C123,"Humare area ka main water tanker aaj schedule ke hisab se nahi aaya.",Water Supply,Hinglish,2
C124,"Industrial waste is being dumped into the river behind our locality.",Sanitation,English,3
C125,"हमारी बस्ती के पीछे नदी में औद्योगिक कचरा फेंका जा रहा है।",Sanitation,Hindi,3
C126,"Humari locality ke peeche nadi mein industrial waste dump kiya ja raha hai.",Sanitation,Hinglish,3
C127,"The shared pathway in our residential complex is broken and uneven.",Transportation,English,0
C128,"हमारे आवासीय परिसर का साझा रास्ता टूटा हुआ और असमान है।",Transportation,Hindi,0
C129,"Humare residential complex ka shared rasta toota hua aur uneven hai.",Transportation,Hinglish,0
C130,"A underground water pipe has a small crack and is leaking in my garden.",Water Supply,English,0
C131,"एक भूमिगत पानी के पाइप में छोटी सी दरार है और वह मेरे बगीचे में लीक हो रहा है।",Water Supply,Hindi,0
C132,"Ek underground water pipe mein crack hai aur wo mere garden mein leak ho raha hai.",Water Supply,Hinglish,0
C133,"The drains in the vegetable market are choked with rotten vegetables.",Sanitation,English,3
C134,"सब्जी मंडी की नालियां सड़ी हुई सब्जियों से चोक हो गई हैं।",Sanitation,Hindi,3
C135,"Sabzi mandi ki naaliyan sadi hui sabziyon se choke ho gayi hain.",Sanitation,Hinglish,3
C136,"The divider on the highway is broken, leading to illegal U-turns.",Transportation,English,3
C137,"हाईवे पर डिवाइडर टूटा हुआ है, जिससे अवैध यू-टर्न लिए जा रहे हैं।",Transportation,Hindi,3
C138,"Highway par divider toota hua hai, jis se illegal U-turns liye ja rahe hain.",Transportation,Hinglish,3
C139,"The water from the overhead tank is overflowing and wasting since morning.",Water Supply,English,2
C140,"सुबह से ओवरहेड टैंक का पानी ओवरफ्लो होकर बर्बाद हो रहा है।",Water Supply,Hindi,2
C141,"Subah se overhead tank ka pani overflow ho raha hai aur waste ho raha hai.",Water Supply,Hinglish,2
C142,"Medical waste from the local clinic is being thrown into common bins.",Sanitation,English,1
C143,"स्थानीय क्लिनिक का मेडिकल कचरा सामान्य कूड़ेदानों में फेंका जा रहा है।",Sanitation,Hindi,1
C144,"Local clinic ka medical waste common bins mein pheka ja raha hai.",Sanitation,Hinglish,1
C145,"The traffic police booth at the square is abandoned and misused by goons.",Transportation,English,3
C146,"चौराहे पर ट्रैफिक पुलिस बूथ लावारिस पड़ा है और गुंडों द्वारा इसका दुरुपयोग किया जा रहा है।",Transportation,Hindi,3
C147,"Square par traffic police booth abandoned hai aur goons uska galat use kar rahe hain.",Transportation,Hinglish,3
C148,"Water supply timings in our sector have been reduced without any notice.",Water Supply,English,2
C149,"बिना किसी नोटिस के हमारे सेक्टर में पानी की आपूर्ति का समय कम कर दिया गया है।",Water Supply,Hindi,2
C150,"Bina kisi notice ke humare sector mein water supply ka time kam kar diya gaya hai.",Water Supply,Hinglish,2
C151,"A large pile of construction sand is blocking half of the main road.",Transportation,English,3
C152,"निर्माण रेत का एक बड़ा ढेर मुख्य सड़क के आधे हिस्से को रोक रहा है।",Transportation,Hindi,3
C153,"Construction sand ka ek bada dher main road ke aadhe hisse ko block kar raha hai.",Transportation,Hinglish,3
C154,"The drainage cover outside my house is broken and smells terrible.",Sanitation,English,0
C155,"मेरे घर के बाहर ड्रेनेज का ढक्कन टूटा हुआ है और बहुत बदबू आ रही है।",Sanitation,Hindi,0
C156,"Mere ghar ke bahar drainage cover toota hua hai aur gandi smell aa rahi hai.",Sanitation,Hinglish,0
C157,"The local public park has no water for the plants and they are dying.",Water Supply,English,2
C158,"स्थानीय सार्वजनिक पार्क में पौधों के लिए पानी नहीं है और वे मर रहे हैं।",Water Supply,Hindi,2
C159,"Local public park mein plants ke liye pani nahi hai aur wo mar rahe hain.",Water Supply,Hinglish,2
C160,"The road signs near the highway exit are covered in posters and invisible.",Transportation,English,3
C161,"हाईवे एग्जिट के पास सड़क के संकेत पोस्टरों से ढके हुए हैं और दिखाई नहीं दे रहे हैं।",Transportation,Hindi,3
C162,"Highway exit ke paas road signs posters se dhake hue hain aur dikh nahi rahe.",Transportation,Hinglish,3
C163,"Someone has dumped a broken sofa and furniture in the street lane.",Sanitation,English,1
C164,"किसी ने गली में एक टूटा हुआ सोफा और फर्नीचर फेंक दिया है।",Sanitation,Hindi,1
C165,"Kisi ne street lane mein toota hua sofa aur furniture phenk diya hai.",Sanitation,Hinglish,1
C166,"Water is leaking from the main joint of the colony's supply line.",Water Supply,English,2
C167,"कॉलोनी की सप्लाई लाइन के मुख्य जोड़ से पानी रिस रहा है।",Water Supply,Hindi,2
C168,"Colony ki supply line ke main joint se pani leak ho raha hai.",Water Supply,Hinglish,2
C169,"The traffic lights at the main junction are stuck on red for 10 minutes.",Transportation,English,3
C170,"मुख्य जंक्शन पर ट्रैफिक लाइट 10 मिनट से लाल रंग पर अटकी हुई है।",Transportation,Hindi,3
C171,"Main junction par traffic lights 10 minutes se red par stuck hain.",Transportation,Hinglish,3
C172,"The garbage van did not play the music or announce its arrival today.",Sanitation,English,2
C173,"कूड़ा ढोने वाली गाड़ी ने आज संगीत नहीं बजाया और न ही अपने आने की घोषणा की।",Sanitation,Hindi,2
C174,"Kachra van ne aaj music nahi bajaya aur na hi announce kiya ki wo aa gayi hai.",Sanitation,Hinglish,2
C175,"There is no water in the toilets of the city railway station.",Water Supply,English,3
C176,"शहर के रेलवे स्टेशन के शौचालयों में पानी नहीं है।",Water Supply,Hindi,3
C177,"City railway station ke toilets mein pani nahi hai.",Water Supply,Hinglish,3
C178,"The streetlights in our lane are on even during the daytime.",Transportation,English,1
C179,"हमारी गली की स्ट्रीट लाइटें दिन के समय भी जलती रहती हैं।",Transportation,Hindi,1
C180,"Humari lane ki streetlights din ke time bhi on rehti hain.",Transportation,Hinglish,1
C181,"The slaughterhouse waste is being thrown into the open drain nearby.",Sanitation,English,3
C182,"कसाईखाने का कचरा पास के खुले नाले में फेंका जा रहा है।",Sanitation,Hindi,3
C183,"Slaughterhouse ka kachra paas ke khule naale mein pheka ja raha hai.",Sanitation,Hinglish,3
C184,"I am getting very muddy water in my kitchen tap since yesterday.",Water Supply,English,0
C185,"कल से मेरे किचन के नल में बहुत मटमैला पानी आ रहा है।",Water Supply,Hindi,0
C186,"Kal se mere kitchen tap mein bohot mitti wala pani aa raha hai.",Water Supply,Hinglish,0
C187,"The bus arriving at the colony stop is always overcrowded and dangerous.",Transportation,English,2
C188,"कॉलोनी स्टॉप पर आने वाली बस हमेशा खचाखच भरी और खतरनाक होती है।",Transportation,Hindi,2
C189,"Colony stop par aane wali bus hamesha overcrowded aur dangerous hoti hai.",Transportation,Hinglish,2
C190,"The drainage water is flowing back into my bathroom pipes.",Sanitation,English,0
C191,"ड्रेनेज का पानी मेरे बाथरूम के पाइपों में वापस बह रहा है।",Sanitation,Hindi,0
C192,"Drainage ka pani mere bathroom pipes mein wapas aa raha hai.",Sanitation,Hinglish,0
C193,"The water level in the society well has gone down significantly.",Water Supply,English,2
C194,"सोसाइटी के कुएं में पानी का स्तर काफी नीचे चला गया है।",Water Supply,Hindi,2
C195,"Society ke kuen mein pani ka level kaafi neeche chala gaya hai.",Water Supply,Hinglish,2
C196,"A fallen electric pole is blocking the entrance to the market.",Transportation,English,3
C197,"बिजली का एक गिरा हुआ खंभा बाजार के प्रवेश द्वार को रोक रहा है।",Transportation,Hindi,3
C198,"Ek gira hua electric pole market ke entrance ko block kar raha hai.",Transportation,Hinglish,3
C199,"Stray cows are eating plastic from the trash pile in the middle of the road.",Sanitation,English,2
C200,"सड़क के बीच में कचरे के ढेर से आवारा गायें प्लास्टिक खा रही हैं।",Sanitation,Hindi,2
C201,"Road ke beech kachre ke dher se awara gayein plastic kha rahi hain.",Sanitation,Hinglish,2
C202,"The public water cooler at the park has been dry for a month.",Water Supply,English,2
C203,"पार्क का सार्वजनिक वाटर कूलर एक महीने से सूखा पड़ा है।",Water Supply,Hindi,2
C204,"Park ka public water cooler ek mahine se sookha pada hai.",Water Supply,Hinglish,2
C205,"The road marking paint is so fresh that it is sticking to car tires.",Transportation,English,3
C206,"सड़क पर पेंट इतना ताजा है कि वह कारों के टायरों से चिपक रहा है।",Transportation,Hindi,3
C207,"Road marking paint itna fresh hai ki wo car tires par chipak raha hai.",Transportation,Hinglish,3
C208,"There is a massive blockage in the sewer line of our apartment block.",Sanitation,English,2
C209,"हमारे अपार्टमेंट ब्लॉक की सीवर लाइन में भारी ब्लॉकेज है।",Sanitation,Hindi,2
C210,"Humare apartment block ki sewer line mein massive blockage hai.",Sanitation,Hinglish,2
C211,"The municipal water has a strong smell of chlorine today.",Water Supply,English,1
C212,"आज नगर पालिका के पानी में क्लोरीन की तेज गंध आ रही है।",Water Supply,Hindi,1
C213,"Aaj municipal water mein chlorine ki tez smell aa rahi hai.",Water Supply,Hinglish,1
C214,"The bicycle track is being used by motorbikes, making it unsafe.",Transportation,English,2
C215,"साइकिल ट्रैक का उपयोग मोटरबाइकों द्वारा किया जा रहा है, जिससे यह असुरक्षित हो गया है।",Transportation,Hindi,2
C216,"Bicycle track motorbikes use kar rahi hain, jis se unsafe ho gaya hai.",Transportation,Hinglish,2
C217,"The waste from the local hospital is not being disposed of properly.",Sanitation,English,3
C218,"स्थानीय अस्पताल के कचरे का ठीक से निपटान नहीं किया जा रहा है।",Sanitation,Hindi,3
C219,"Local hospital ka waste theek se dispose nahi kiya ja raha hai.",Sanitation,Hinglish,3
C220,"My garden tap has very low pressure compared to the other taps.",Water Supply,English,0
C221,"मेरे बगीचे के नल में अन्य नलों की तुलना में बहुत कम दबाव है।",Water Supply,Hindi,0
C222,"Mere garden tap mein baki taps ke mukable bohot low pressure hai.",Water Supply,Hinglish,0
C223,"A thick layer of dust from the road construction is entering our houses.",Sanitation,English,2
C224,"सड़क निर्माण से उड़ने वाली धूल की मोटी परत हमारे घरों में घुस रही है।",Sanitation,Hindi,2
C225,"Road construction ki dhool ki moti layer humare gharon mein ghus rahi hai.",Sanitation,Hinglish,2
C226,"The street light pole near the corner is leaning dangerously.",Transportation,English,1
C227,"कोने के पास वाला स्ट्रीट लाइट का खंभा खतरनाक तरीके से झुका हुआ है।",Transportation,Hindi,1
C228,"Corner ke paas wala street light pole dangerously jhuka hua hai.",Transportation,Hinglish,1
C229,"The water supply was cut off today without any prior announcement.",Water Supply,English,2
C230,"आज बिना किसी पूर्व घोषणा के पानी की आपूर्ति काट दी गई।",Water Supply,Hindi,2
C231,"Aaj bina kisi announcement ke water supply cut kar di gayi.",Water Supply,Hinglish,2
C232,"The storm drain is full of dry leaves and will flood if it rains.",Sanitation,English,2
C233,"तूफानी नाला सूखे पत्तों से भरा है और बारिश होने पर बाढ़ आ जाएगी।",Sanitation,Hindi,2
C234,"Storm drain sukhe patton se bhara hai, baarish hui toh flood ho jayega.",Sanitation,Hinglish,2
C235,"A pothole on the main flyover caused a minor accident this morning.",Transportation,English,3
C236,"मुख्य फ्लाईओवर पर एक गड्ढे के कारण आज सुबह एक मामूली दुर्घटना हुई।",Transportation,Hindi,3
C237,"Main flyover ke ek gadde ki wajah se aaj subah ek accident hua.",Transportation,Hinglish,3
C238,"The valve in the main street is broken and spraying water everywhere.",Water Supply,English,1
C239,"मुख्य गली का वाल्व टूट गया है और हर जगह पानी का छिड़काव हो रहा है।",Water Supply,Hindi,1
C240,"Main street ka valve toot gaya hai aur har jagah pani spray ho raha hai.",Water Supply,Hinglish,1
C241,"Garbage is being dumped behind the neighborhood school building.",Sanitation,English,2
C242,"मोहल्ले के स्कूल की इमारत के पीछे कूड़ा फेंका जा रहा है।",Sanitation,Hindi,2
C243,"Neighborhood school building ke peeche kachra pheka ja raha hai.",Sanitation,Hinglish,2
C244,"The traffic signal timer is not visible due to sunlight glare.",Transportation,English,3
C245,"सूरज की रोशनी की चमक के कारण ट्रैफिक सिग्नल टाइमर दिखाई नहीं दे रहा है।",Transportation,Hindi,3
C246,"Dhoop ki wajah se traffic signal timer dikhai nahi de raha hai.",Transportation,Hinglish,3
C247,"The water in the public fountain is green and full of algae.",Water Supply,English,2
