complaint_id,text,category,language,urgency,detected_language,emergency_keyword_score,severity_score,text_length,affected_population,repeat_complaint_count,hour_of_day,is_weekend,is_monsoon_season,split,cleaned_text
C0001,सार्वजनिक डस्टबिन कचरे से भर गए हैं और जानवर कचरा फैला रहे हैं।,Sanitation,Hindi,Medium,Hindi,0,0.5,13,2,1,21,0,0,train,सार्वजनिक डस्टबिन कचरे से भर गए हैं और जानवर कचरा फैला रहे हैं।
C0002,"गली से पिछले कई दिनों से कूड़ा नहीं उठाया गया है, बदबू से रहना मुश्किल हो गया है।",Sanitation,Hindi,High,Hindi,0,0.7,18,1,2,14,0,1,train,"गली से पिछले कई दिनों से कूड़ा नहीं उठाया गया है, बदबू से रहना मुश्किल हो गया है।"
C0003,"गली से पिछले कई दिनों से कूड़ा नहीं उठाया गया है, बदबू से रहना मुश्किल हो गया है।",Sanitation,Hindi,High,Hindi,0,0.7,18,2,1,17,0,0,train,"गली से पिछले कई दिनों से कूड़ा नहीं उठाया गया है, बदबू से रहना मुश्किल हो गया है।"
C0004,"गली से पिछले कई दिनों से कूड़ा नहीं उठाया गया है, बदबू से रहना मुश्किल हो गया है।",Sanitation,Hindi,Medium,Hindi,0,0.5,18,2,3,14,0,0,train,"गली से पिछले कई दिनों से कूड़ा नहीं उठाया गया है, बदबू से रहना मुश्किल हो गया है।"
C0008,"गली से पिछले कई दिनों से कूड़ा नहीं उठाया गया है, बदबू से रहना मुश्किल हो गया है।",Sanitation,Hindi,Medium,Hindi,0,0.5,18,0,1,4,0,0,train,"गली से पिछले कई दिनों से कूड़ा नहीं उठाया गया है, बदबू से रहना मुश्किल हो गया है।"
C0009,"गली से पिछले कई दिनों से कूड़ा नहीं उठाया गया है, बदबू से रहना मुश्किल हो गया है।",Sanitation,Hindi,Medium,Hindi,0,0.5,18,1,0,17,0,0,train,"गली से पिछले कई दिनों से कूड़ा नहीं उठाया गया है, बदबू से रहना मुश्किल हो गया है।"
C0010,सार्वजनिक डस्टबिन कचरे से भर गए हैं और जानवर कचरा फैला रहे हैं।,Sanitation,Hindi,Critical,Hindi,0,0.9,13,3,1,12,1,0,train,सार्वजनिक डस्टबिन कचरे से भर गए हैं और जानवर कचरा फैला रहे हैं।
C0012,"गली से पिछले कई दिनों से कूड़ा नहीं उठाया गया है, बदबू से रहना मुश्किल हो गया है।",Sanitation,Hindi,Medium,Hindi,0,0.5,18,0,1,12,1,1,train,"गली से पिछले कई दिनों से कूड़ा नहीं उठाया गया है, बदबू से रहना मुश्किल हो गया है।"
C0013,घर के पास नाली जाम है और गंदा पानी सड़क पर बह रहा है।,Sanitation,Hindi,Medium,Hindi,0,0.5,14,1,0,23,1,1,train,घर के पास नाली जाम है और गंदा पानी सड़क पर बह रहा है।
C0014,घर के पास नाली जाम है और गंदा पानी सड़क पर बह रहा है।,Sanitation,Hindi,High,Hindi,0,0.7,14,3,2,15,0,0,train,घर के पास नाली जाम है और गंदा पानी सड़क पर बह रहा है।
C0015,घर के पास नाली जाम है और गंदा पानी सड़क पर बह रहा है।,Sanitation,Hindi,Medium,Hindi,0,0.5,14,0,1,10,0,1,train,घर के पास नाली जाम है और गंदा पानी सड़क पर बह रहा है।
C0017,घर के पास नाली जाम है और गंदा पानी सड़क पर बह रहा है।,Sanitation,Hindi,Medium,Hindi,0,0.5,14,1,3,12,0,1,train,घर के पास नाली जाम है और गंदा पानी सड़क पर बह रहा है।
C0019,घर के पास नाली जाम है और गंदा पानी सड़क पर बह रहा है।,Sanitation,Hindi,High,Hindi,0,0.7,14,0,2,12,0,0,train,घर के पास नाली जाम है और गंदा पानी सड़क पर बह रहा है।
C0020,"गली से पिछले कई दिनों से कूड़ा नहीं उठाया गया है, बदबू से रहना मुश्किल हो गया है।",Sanitation,Hindi,Medium,Hindi,0,0.5,18,0,1,12,0,1,train,"गली से पिछले कई दिनों से कूड़ा नहीं उठाया गया है, बदबू से रहना मुश्किल हो गया है।"
C0021,"गली से पिछले कई दिनों से कूड़ा नहीं उठाया गया है, बदबू से रहना मुश्किल हो गया है।",Sanitation,Hindi,High,Hindi,0,0.7,18,1,3,2,0,1,train,"गली से पिछले कई दिनों से कूड़ा नहीं उठाया गया है, बदबू से रहना मुश्किल हो गया है।"
C0023,घर के पास नाली जाम है और गंदा पानी सड़क पर बह रहा है।,Sanitation,Hindi,Medium,Hindi,0,0.5,14,3,0,1,1,1,train,घर के पास नाली जाम है और गंदा पानी सड़क पर बह रहा है।
C0024,सार्वजनिक डस्टबिन कचरे से भर गए हैं और जानवर कचरा फैला रहे हैं।,Sanitation,Hindi,Medium,Hindi,0,0.5,13,0,5,0,0,0,train,सार्वजनिक डस्टबिन कचरे से भर गए हैं और जानवर कचरा फैला रहे हैं।
C0026,घर के पास नाली जाम है और गंदा पानी सड़क पर बह रहा है।,Sanitation,Hindi,Low,Hindi,0,0.3,14,1,0,11,0,1,train,घर के पास नाली जाम है और गंदा पानी सड़क पर बह रहा है।
C0029,The drain near our house is blocked and dirty water is overflowing on the road.,Sanitation,English,Low,English,0,0.3,15,1,0,12,0,1,train,The drain near our house is blocked and dirty water is overflowing on the road.
C0031,Garbage has not been collected from our street for a week and the smell is unbearable.,Sanitation,English,High,English,0,0.7,16,2,2,9,1,1,train,Garbage has not been collected from our street for a week and the smell is unbearable.
C0033,Garbage has not been collected from our street for a week and the smell is unbearable.,Sanitation,English,Low,English,0,0.3,16,0,2,11,0,1,train,Garbage has not been collected from our street for a week and the smell is unbearable.
C0034,The drain near our house is blocked and dirty water is overflowing on the road.,Sanitation,English,Critical,English,0,0.9,15,0,0,13,1,0,train,The drain near our house is blocked and dirty water is overflowing on the road.
C0035,The drain near our house is blocked and dirty water is overflowing on the road.,Sanitation,English,Medium,English,0,0.5,15,3,3,20,1,0,train,The drain near our house is blocked and dirty water is overflowing on the road.
C0037,The drain near our house is blocked and dirty water is overflowing on the road.,Sanitation,English,Medium,English,0,0.5,15,0,0,17,1,0,train,The drain near our house is blocked and dirty water is overflowing on the road.
C0038,Public dustbins are overflowing and stray animals are scattering the waste.,Sanitation,English,Low,English,0,0.3,11,1,0,18,0,1,train,Public dustbins are overflowing and stray animals are scattering the waste.
C0040,Public dustbins are overflowing and stray animals are scattering the waste.,Sanitation,English,Low,English,0,0.3,11,1,0,18,0,0,train,Public dustbins are overflowing and stray animals are scattering the waste.
C0043,The drain near our house is blocked and dirty water is overflowing on the road.,Sanitation,English,Medium,English,0,0.5,15,2,0,17,0,1,train,The drain near our house is blocked and dirty water is overflowing on the road.
C0044,Public dustbins are overflowing and stray animals are scattering the waste.,Sanitation,English,Medium,English,0,0.5,11,0,2,23,0,0,train,Public dustbins are overflowing and stray animals are scattering the waste.
C0045,Garbage has not been collected from our street for a week and the smell is unbearable.,Sanitation,English,Medium,English,0,0.5,16,0,2,15,0,0,train,Garbage has not been collected from our street for a week and the smell is unbearable.
C0046,Garbage has not been collected from our street for a week and the smell is unbearable.,Sanitation,English,Critical,English,0,0.9,16,3,1,2,0,0,train,Garbage has not been collected from our street for a week and the smell is unbearable.
C0047,Garbage has not been collected from our street for a week and the smell is unbearable.,Sanitation,English,Medium,English,0,0.5,16,0,0,21,0,0,train,Garbage has not been collected from our street for a week and the smell is unbearable.
C0048,"Nali bilkul jam hai, ganda pani road pe overflow ho raha hai.",Sanitation,Hinglish,Medium,Hinglish,0,0.5,12,1,0,13,1,0,train,"Nali bilkul jam hai, ganda pani road pe overflow ho raha hai."
C0049,"Gali se ek hafte se kachra nahi uthaya gaya, smell se rehna mushkil ho gaya hai.",Sanitation,Hinglish,Low,Hinglish,0,0.3,16,0,0,14,0,0,train,"Gali se ek hafte se kachra nahi uthaya gaya, smell se rehna mushkil ho gaya hai."
C0050,"Public dustbin overflow ho rahe hain, stray dogs kachra idhar-udhar phaila rahe hain.",Sanitation,Hinglish,High,English,0,0.7,13,0,3,6,0,1,train,"Public dustbin overflow ho rahe hain, stray dogs kachra idhar-udhar phaila rahe hain."
C0051,"Gali se ek hafte se kachra nahi uthaya gaya, smell se rehna mushkil ho gaya hai.",Sanitation,Hinglish,High,Hinglish,0,0.7,16,3,2,22,0,0,train,"Gali se ek hafte se kachra nahi uthaya gaya, smell se rehna mushkil ho gaya hai."
C0052,"Nali bilkul jam hai, ganda pani road pe overflow ho raha hai.",Sanitation,Hinglish,High,Hinglish,0,0.7,12,1,0,23,0,1,train,"Nali bilkul jam hai, ganda pani road pe overflow ho raha hai."
C0053,"Gali se ek hafte se kachra nahi uthaya gaya, smell se rehna mushkil ho gaya hai.",Sanitation,Hinglish,Low,Hinglish,0,0.3,16,0,0,3,1,0,train,"Gali se ek hafte se kachra nahi uthaya gaya, smell se rehna mushkil ho gaya hai."
C0055,"Public dustbin overflow ho rahe hain, stray dogs kachra idhar-udhar phaila rahe hain.",Sanitation,Hinglish,High,English,0,0.7,13,1,5,1,0,1,train,"Public dustbin overflow ho rahe hain, stray dogs kachra idhar-udhar phaila rahe hain."
C0056,"Public dustbin overflow ho rahe hain, stray dogs kachra idhar-udhar phaila rahe hain.",Sanitation,Hinglish,Medium,English,0,0.5,13,0,3,15,0,0,train,"Public dustbin overflow ho rahe hain, stray dogs kachra idhar-udhar phaila rahe hain."
C0057,"Public dustbin overflow ho rahe hain, stray dogs kachra idhar-udhar phaila rahe hain.",Sanitation,Hinglish,Low,English,0,0.3,13,0,0,15,0,0,train,"Public dustbin overflow ho rahe hain, stray dogs kachra idhar-udhar phaila rahe hain."
C0058,"Nali bilkul jam hai, ganda pani road pe overflow ho raha hai.",Sanitation,Hinglish,High,Hinglish,0,0.7,12,0,0,15,0,0,train,"Nali bilkul jam hai, ganda pani road pe overflow ho raha hai."
C0059,"Nali bilkul jam hai, ganda pani road pe overflow ho raha hai.",Sanitation,Hinglish,High,Hinglish,0,0.7,12,1,1,18,0,0,train,"Nali bilkul jam hai, ganda pani road pe overflow ho raha hai."
C0062,"Gali se ek hafte se kachra nahi uthaya gaya, smell se rehna mushkil ho gaya hai.",Sanitation,Hinglish,Low,Hinglish,0,0.3,16,1,0,7,1,0,train,"Gali se ek hafte se kachra nahi uthaya gaya, smell se rehna mushkil ho gaya hai."
C0064,"Public dustbin overflow ho rahe hain, stray dogs kachra idhar-udhar phaila rahe hain.",Sanitation,Hinglish,Medium,English,0,0.5,13,0,0,19,0,1,train,"Public dustbin overflow ho rahe hain, stray dogs kachra idhar-udhar phaila rahe hain."
C0065,"Public dustbin overflow ho rahe hain, stray dogs kachra idhar-udhar phaila rahe hain.",Sanitation,Hinglish,Low,English,0,0.3,13,0,0,6,0,0,train,"Public dustbin overflow ho rahe hain, stray dogs kachra idhar-udhar phaila rahe hain."
C0066,"Public dustbin overflow ho rahe hain, stray dogs kachra idhar-udhar phaila rahe hain.",Sanitation,Hinglish,High,English,0,0.7,13,0,3,7,0,0,train,"Public dustbin overflow ho rahe hain, stray dogs kachra idhar-udhar phaila rahe hain."
C0067,"पानी का प्रेशर बहुत कम है, टंकी बिल्कुल नहीं भर रही है।",Water Supply,Hindi,High,Hindi,0,0.7,12,0,3,14,0,0,train,"पानी का प्रेशर बहुत कम है, टंकी बिल्कुल नहीं भर रही है।"
C0068,"घर के पास पानी की पाइपलाइन से लीकेज हो रही है, बहुत पानी बर्बाद हो रहा है।",Water Supply,Hindi,Low,Hindi,0,0.3,17,0,0,9,0,1,train,"घर के पास पानी की पाइपलाइन से लीकेज हो रही है, बहुत पानी बर्बाद हो रहा है।"
C0069,"घर के पास पानी की पाइपलाइन से लीकेज हो रही है, बहुत पानी बर्बाद हो रहा है।",Water Supply,Hindi,Low,Hindi,0,0.3,17,0,0,21,0,0,train,"घर के पास पानी की पाइपलाइन से लीकेज हो रही है, बहुत पानी बर्बाद हो रहा है।"
C0070,"घर के पास पानी की पाइपलाइन से लीकेज हो रही है, बहुत पानी बर्बाद हो रहा है।",Water Supply,Hindi,Medium,Hindi,0,0.5,17,2,0,18,0,1,train,"घर के पास पानी की पाइपलाइन से लीकेज हो रही है, बहुत पानी बर्बाद हो रहा है।"
C0071,"घर के पास पानी की पाइपलाइन से लीकेज हो रही है, बहुत पानी बर्बाद हो रहा है।",Water Supply,Hindi,Medium,Hindi,0,0.5,17,1,0,17,0,0,train,"घर के पास पानी की पाइपलाइन से लीकेज हो रही है, बहुत पानी बर्बाद हो रहा है।"
C0072,"घर के पास पानी की पाइपलाइन से लीकेज हो रही है, बहुत पानी बर्बाद हो रहा है।",Water Supply,Hindi,High,Hindi,0,0.7,17,1,2,4,0,0,train,"घर के पास पानी की पाइपलाइन से लीकेज हो रही है, बहुत पानी बर्बाद हो रहा है।"
C0074,"हमारे इलाके में पिछले 3 दिनों से पानी की सप्लाई बंद है, लोग बहुत परेशान हैं।",Water Supply,Hindi,Medium,Hindi,0,0.5,16,1,1,14,0,1,train,"हमारे इलाके में पिछले 3 दिनों से पानी की सप्लाई बंद है, लोग बहुत परेशान हैं।"
C0075,"पानी का प्रेशर बहुत कम है, टंकी बिल्कुल नहीं भर रही है।",Water Supply,Hindi,Critical,Hindi,0,0.9,12,3,1,16,0,0,train,"पानी का प्रेशर बहुत कम है, टंकी बिल्कुल नहीं भर रही है।"
C0077,"घर के पास पानी की पाइपलाइन से लीकेज हो रही है, बहुत पानी बर्बाद हो रहा है।",Water Supply,Hindi,Low,Hindi,0,0.3,17,0,0,7,1,1,train,"घर के पास पानी की पाइपलाइन से लीकेज हो रही है, बहुत पानी बर्बाद हो रहा है।"
C0079,"घर के पास पानी की पाइपलाइन से लीकेज हो रही है, बहुत पानी बर्बाद हो रहा है।",Water Supply,Hindi,Medium,Hindi,0,0.5,17,0,2,1,1,0,train,"घर के पास पानी की पाइपलाइन से लीकेज हो रही है, बहुत पानी बर्बाद हो रहा है।"
C0080,"घर के पास पानी की पाइपलाइन से लीकेज हो रही है, बहुत पानी बर्बाद हो रहा है।",Water Supply,Hindi,High,Hindi,0,0.7,17,2,0,14,1,0,train,"घर के पास पानी की पाइपलाइन से लीकेज हो रही है, बहुत पानी बर्बाद हो रहा है।"
C0081,"घर के पास पानी की पाइपलाइन से लीकेज हो रही है, बहुत पानी बर्बाद हो रहा है।",Water Supply,Hindi,Low,Hindi,0,0.3,17,0,1,20,1,1,train,"घर के पास पानी की पाइपलाइन से लीकेज हो रही है, बहुत पानी बर्बाद हो रहा है।"
C0083,"हमारे इलाके में पिछले 3 दिनों से पानी की सप्लाई बंद है, लोग बहुत परेशान हैं।",Water Supply,Hindi,Low,Hindi,0,0.3,16,2,0,10,0,0,train,"हमारे इलाके में पिछले 3 दिनों से पानी की सप्लाई बंद है, लोग बहुत परेशान हैं।"
C0084,"हमारे इलाके में पिछले 5 दिनों से पानी की सप्लाई बंद है, लोग बहुत परेशान हैं।",Water Supply,Hindi,Critical,Hindi,0,0.9,16,3,1,12,1,0,train,"हमारे इलाके में पिछले 5 दिनों से पानी की सप्लाई बंद है, लोग बहुत परेशान हैं।"
C0085,"घर के पास पानी की पाइपलाइन से लीकेज हो रही है, बहुत पानी बर्बाद हो रहा है।",Water Supply,Hindi,Medium,Hindi,0,0.5,17,1,1,10,0,0,train,"घर के पास पानी की पाइपलाइन से लीकेज हो रही है, बहुत पानी बर्बाद हो रहा है।"
C0088,"हमारे इलाके में पिछले 3 दिनों से पानी की सप्लाई बंद है, लोग बहुत परेशान हैं।",Water Supply,Hindi,High,Hindi,0,0.7,16,1,1,15,0,1,train,"हमारे इलाके में पिछले 3 दिनों से पानी की सप्लाई बंद है, लोग बहुत परेशान हैं।"
C0089,"पानी का प्रेशर बहुत कम है, टंकी बिल्कुल नहीं भर रही है।",Water Supply,Hindi,Medium,Hindi,0,0.5,12,0,2,17,0,0,train,"पानी का प्रेशर बहुत कम है, टंकी बिल्कुल नहीं भर रही है।"
C0090,"हमारे इलाके में पिछले 2 दिनों से पानी की सप्लाई बंद है, लोग बहुत परेशान हैं।",Water Supply,Hindi,Critical,Hindi,0,0.9,16,3,4,15,0,1,train,"हमारे इलाके में पिछले 2 दिनों से पानी की सप्लाई बंद है, लोग बहुत परेशान हैं।"
C0091,"घर के पास पानी की पाइपलाइन से लीकेज हो रही है, बहुत पानी बर्बाद हो रहा है।",Water Supply,Hindi,Medium,Hindi,0,0.5,17,1,0,7,0,0,train,"घर के पास पानी की पाइपलाइन से लीकेज हो रही है, बहुत पानी बर्बाद हो रहा है।"
C0093,"There has been no water supply in our area for the past 5 days, residents are suffering.",Water Supply,English,High,English,1,0.8,17,3,5,14,1,1,train,"There has been no water supply in our area for the past 5 days, residents are suffering."
C0094,"There has been no water supply in our area for the past 2 days, residents are suffering.",Water Supply,English,Medium,English,1,0.6,17,0,0,22,0,1,train,"There has been no water supply in our area for the past 2 days, residents are suffering."
C0097,Water pressure is very low in our building and tanks are not filling properly.,Water Supply,English,Medium,English,0,0.5,14,2,1,4,1,0,train,Water pressure is very low in our building and tanks are not filling properly.
C0099,"There has been no water supply in our area for the past 5 days, residents are suffering.",Water Supply,English,Medium,English,1,0.6,17,0,2,0,0,0,train,"There has been no water supply in our area for the past 5 days, residents are suffering."
C0100,Water pipeline leakage near our house is wasting a lot of clean water.,Water Supply,English,High,English,0,0.7,13,2,2,21,0,0,train,Water pipeline leakage near our house is wasting a lot of clean water.
C0101,Water pipeline leakage near our house is wasting a lot of clean water.,Water Supply,English,Low,English,0,0.3,13,0,0,11,0,1,train,Water pipeline leakage near our house is wasting a lot of clean water.
